image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0043.png,7.313608905,4.332878122,3,2.55E-08,2.999997916
0043.png,7.313608905,4.332878122,4,1.25E-08,3.999996635
0043.png,7.313608905,4.332878122,5,6.35E-09,4.999991136
0043.png,7.313608905,4.332878122,6,3.31E-09,5.999976073
0043.png,7.313608905,4.332878122,7,1.78E-09,6.999961457
0043.png,7.313608905,4.332878122,8,1.01E-09,7.999930445
0044.png,7.733638264,5.481096936,1,6.77E-08,0.999999991
0044.png,7.733638264,5.481096936,2,3.45E-08,1.999999008
0044.png,7.733638264,5.481096936,3,1.66E-08,2.999999187
0044.png,7.733638264,5.481096936,4,8.14E-09,3.999996902
0044.png,7.733638264,5.481096936,5,4.09E-09,4.9999961
0044.png,7.733638264,5.481096936,6,2.10E-09,5.9999912
0044.png,7.733638264,5.481096936,7,1.10E-09,6.999982628
0044.png,7.733638264,5.481096936,8,6.13E-10,7.999942968
0045.png,7.428894763,5.257059567,1,1.07E-07,0.999999934
0045.png,7.428894763,5.257059567,2,5.71E-08,1.999999226
0045.png,7.428894763,5.257059567,3,2.76E-08,2.999998112
0045.png,7.428894763,5.257059567,4,1.31E-08,3.999995568
0045.png,7.428894763,5.257059567,5,6.24E-09,4.999986002
0045.png,7.428894763,5.257059567,6,3.01E-09,5.999981204
0045.png,7.428894763,5.257059567,7,1.46E-09,6.99995917
0045.png,7.428894763,5.257059567,8,7.32E-10,7.999920622
0046.png,7.410696003,5.278076482,1,8.86E-08,0.999999999
0046.png,7.410696003,5.278076482,2,4.76E-08,1.99999895
0046.png,7.410696003,5.278076482,3,2.30E-08,2.999998736
0046.png,7.410696003,5.278076482,4,1.09E-08,3.999997585
0046.png,7.410696003,5.278076482,5,5.17E-09,4.999990519
0046.png,7.410696003,5.278076482,6,2.49E-09,5.999983212
0046.png,7.410696003,5.278076482,7,1.19E-09,6.999968779
0046.png,7.410696003,5.278076482,8,5.87E-10,7.999941
0047.png,7.72202916,4.488923761,1,8.76E-08,0.999999808
0047.png,7.72202916,4.488923761,2,4.75E-08,1.999999145
0047.png,7.72202916,4.488923761,3,2.30E-08,2.999998053
0047.png,7.72202916,4.488923761,4,1.09E-08,3.999994728
0047.png,7.72202916,4.488923761,5,5.18E-09,4.999992795
0047.png,7.72202916,4.488923761,6,2.48E-09,5.999986597
0047.png,7.72202916,4.488923761,7,1.20E-09,6.999966639
0047.png,7.72202916,4.488923761,8,5.90E-10,7.999930335
0048.png,6.491320014,4.052047792,1,8.65E-08,0.999999982
0048.png,6.491320014,4.052047792,2,4.64E-08,1.999999499
0048.png,6.491320014,4.052047792,3,2.25E-08,2.999998807
0048.png,6.491320014,4.052047792,4,1.06E-08,3.99999607
0048.png,6.491320014,4.052047792,5,4.94E-09,4.999990811
0048.png,6.491320014,4.052047792,6,2.33E-09,5.999984055
0048.png,6.491320014,4.052047792,7,1.10E-09,6.999963208
0048.png,6.491320014,4.052047792,8,5.25E-10,7.999928891
0049.png,7.119704119,4.469296068,1,8.24E-08,0.999999998
0049.png,7.119704119,4.469296068,2,4.59E-08,1.999999793
0049.png,7.119704119,4.469296068,3,2.24E-08,2.999998741
0049.png,7.119704119,4.469296068,4,1.05E-08,3.999995599
0049.png,7.119704119,4.469296068,5,4.95E-09,4.99999213
0049.png,7.119704119,4.469296068,6,2.33E-09,5.999982723
0049.png,7.119704119,4.469296068,7,1.11E-09,6.999962819
0049.png,7.119704119,4.469296068,8,5.35E-10,7.999931677
0050.png,7.829119324,4.780364097,1,1.06E-07,0.999999955
0050.png,7.829119324,4.780364097,2,5.38E-08,1.999997732
0050.png,7.829119324,4.780364097,3,2.60E-08,2.999997164
0050.png,7.829119324,4.780364097,4,1.30E-08,3.999994563
0050.png,7.829119324,4.780364097,5,6.70E-09,4.999991028
0050.png,7.829119324,4.780364097,6,3.60E-09,5.999985512
0050.png,7.829119324,4.780364097,7,2.02E-09,6.999965894
0050.png,7.829119324,4.780364097,8,1.24E-09,7.99992098
0051.png,7.657690237,5.59145333,1,1.03E-07,0.999999792
0051.png,7.657690237,5.59145333,2,5.17E-08,1.999998475
0051.png,7.657690237,5.59145333,3,2.49E-08,2.999998091
0051.png,7.657690237,5.59145333,4,1.23E-08,3.999996503
0051.png,7.657690237,5.59145333,5,6.17E-09,4.999993914
0051.png,7.657690237,5.59145333,6,3.21E-09,5.999988008
0051.png,7.657690237,5.59145333,7,1.71E-09,6.999968031
0051.png,7.657690237,5.59145333,8,9.73E-10,7.999933168
0052.png,7.606015124,6.398779441,1,9.11E-08,0.999999971
0052.png,7.606015124,6.398779441,2,4.84E-08,1.999999858
0052.png,7.606015124,6.398779441,3,2.34E-08,2.999998547
0052.png,7.606015124,6.398779441,4,1.11E-08,3.999997067
0052.png,7.606015124,6.398779441,5,5.33E-09,4.999992324
0052.png,7.606015124,6.398779441,6,2.58E-09,5.999983602
0052.png,7.606015124,6.398779441,7,1.26E-09,6.999972157
0052.png,7.606015124,6.398779441,8,6.28E-10,7.999929978
0053.png,6.73097755,4.876337236,1,9.69E-08,0.999999906
0053.png,6.73097755,4.876337236,2,5.10E-08,1.999999044
0053.png,6.73097755,4.876337236,3,2.46E-08,2.999997907
0053.png,6.73097755,4.876337236,4,1.19E-08,3.999994622
0053.png,6.73097755,4.876337236,5,5.90E-09,4.9999892
0053.png,6.73097755,4.876337236,6,2.99E-09,5.999978979
0053.png,6.73097755,4.876337236,7,1.55E-09,6.99996776
0053.png,6.73097755,4.876337236,8,8.48E-10,7.999925707
0054.png,7.074080731,6.43907276,1,8.23E-08,0.999999936
