image_filename,image_entropy,image_delentropy,hologram_bit_depth,NMSE,hologram_entropy
0068.png,7.482449821471389,4.2918697592284065,6,2.3417219061879606e-09,5.999985147895034
0068.png,7.482449821471389,4.2918697592284065,6,2.339483274159275e-09,5.999986727380464
0068.png,7.482449821471389,4.2918697592284065,6,2.3390279048428605e-09,5.999983003279153
0068.png,7.482449821471389,4.2918697592284065,7,1.1201103296787561e-09,6.999967500600724
0068.png,7.482449821471389,4.2918697592284065,7,1.1210284792820776e-09,6.99996675038262
0068.png,7.482449821471389,4.2918697592284065,7,1.1198718280449279e-09,6.9999661759159455
0068.png,7.482449821471389,4.2918697592284065,7,1.1159221650285473e-09,6.9999631810363745
0068.png,7.482449821471389,4.2918697592284065,7,1.1165705339912026e-09,6.999967069666671
0068.png,7.482449821471389,4.2918697592284065,8,5.447788751823572e-10,7.999933988846577
0068.png,7.482449821471389,4.2918697592284065,8,5.443235633892961e-10,7.999936088840007
0068.png,7.482449821471389,4.2918697592284065,8,5.436799239503717e-10,7.99992924463026
0068.png,7.482449821471389,4.2918697592284065,8,5.443816071258736e-10,7.999926916995214
0068.png,7.482449821471389,4.2918697592284065,8,5.432303893660836e-10,7.9999328794302205
0069.png,7.905981147616708,5.818354938566041,1,1.0507938982825909e-07,0.9999998974353944
0069.png,7.905981147616708,5.818354938566041,1,1.0507073971805852e-07,0.9999999210995958
0069.png,7.905981147616708,5.818354938566041,1,1.051467736702147e-07,0.9999999500420456
0069.png,7.905981147616708,5.818354938566041,1,1.0511677573232434e-07,0.999999856886316
0069.png,7.905981147616708,5.818354938566041,1,1.0512704399461999e-07,0.9999998418724418
0069.png,7.905981147616708,5.818354938566041,2,5.8692697653421347e-08,1.999999686623157
0069.png,7.905981147616708,5.818354938566041,2,5.869956990690428e-08,1.9999998205546654
0069.png,7.905981147616708,5.818354938566041,2,5.8796818889412615e-08,1.9999998928986
0069.png,7.905981147616708,5.818354938566041,2,5.8740893068551546e-08,1.9999997915341001
0069.png,7.905981147616708,5.818354938566041,2,5.8729096235681935e-08,1.999999968780186
0069.png,7.905981147616708,5.818354938566041,3,2.846970261269727e-08,2.9999990426860426
0069.png,7.905981147616708,5.818354938566041,3,2.8454706122820407e-08,2.9999992668423516
0069.png,7.905981147616708,5.818354938566041,3,2.8500816446733275e-08,2.9999993218452103
0069.png,7.905981147616708,5.818354938566041,3,2.8527917065257184e-08,2.999997734047103
0069.png,7.905981147616708,5.818354938566041,3,2.8454856337068006e-08,2.999999610752604
0069.png,7.905981147616708,5.818354938566041,4,1.4247163498710188e-08,3.9999970803755787
0069.png,7.905981147616708,5.818354938566041,4,1.4240909953882462e-08,3.9999955179841526
0069.png,7.905981147616708,5.818354938566041,4,1.423220448428318e-08,3.999997969499368
0069.png,7.905981147616708,5.818354938566041,4,1.4234516513428542e-08,3.999996199367685
0069.png,7.905981147616708,5.818354938566041,4,1.424543402021409e-08,3.9999978986671914
0069.png,7.905981147616708,5.818354938566041,5,7.360311459886459e-09,4.999993743075257
0069.png,7.905981147616708,5.818354938566041,5,7.354388981434297e-09,4.999988946662023
0069.png,7.905981147616708,5.818354938566041,5,7.363677540441111e-09,4.999992433490677
0069.png,7.905981147616708,5.818354938566041,5,7.362343536686659e-09,4.999991139701629
0069.png,7.905981147616708,5.818354938566041,5,7.365915806586042e-09,4.999993029551288
0069.png,7.905981147616708,5.818354938566041,6,3.956658856702965e-09,5.999977599746368
0069.png,7.905981147616708,5.818354938566041,6,3.962074560345667e-09,5.9999814434332315
0069.png,7.905981147616708,5.818354938566041,6,3.963007422442859e-09,5.999982868229185
0069.png,7.905981147616708,5.818354938566041,6,3.960924047679521e-09,5.99998719274746
0069.png,7.905981147616708,5.818354938566041,6,3.9582277121112365e-09,5.999983411904411
