image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0096.png,7.69155887741709,5.439989336687316,4,1.3073461290095914e-08,3.9999971206127203
0096.png,7.69155887741709,5.439989336687316,5,6.779584814217852e-09,4.999990175707808
0096.png,7.69155887741709,5.439989336687316,6,3.6338183563035676e-09,5.999985622340965
0096.png,7.69155887741709,5.439989336687316,7,2.023361250066982e-09,6.9999652452099355
0096.png,7.69155887741709,5.439989336687316,8,1.2093834731922324e-09,7.999936739440456
0097.png,7.416164217436608,5.309771635108752,1,1.2686485859974838e-07,0.9999999973820759
0097.png,7.416164217436608,5.309771635108752,2,6.232699423920322e-08,1.9999991033028248
0097.png,7.416164217436608,5.309771635108752,3,2.9972231031460944e-08,2.999996963423369
0097.png,7.416164217436608,5.309771635108752,4,1.5050733927142492e-08,3.9999938179958865
0097.png,7.416164217436608,5.309771635108752,5,7.838813955343209e-09,4.999990282909214
0097.png,7.416164217436608,5.309771635108752,6,4.26157434591419e-09,5.9999786564513045
0097.png,7.416164217436608,5.309771635108752,7,2.382889428668408e-09,6.999953056599024
0097.png,7.416164217436608,5.309771635108752,8,1.4507644073157475e-09,7.999916773538053
0098.png,7.7407704747884685,5.404520545431803,1,8.749363252397235e-08,0.9999997876757293
0098.png,7.7407704747884685,5.404520545431803,2,4.506482681740386e-08,1.9999993680825838
0098.png,7.7407704747884685,5.404520545431803,3,2.1768775134765717e-08,2.9999965471075103
0098.png,7.7407704747884685,5.404520545431803,4,1.0583199621847796e-08,3.999997028510592
0098.png,7.7407704747884685,5.404520545431803,5,5.253440222826143e-09,4.999994107785399
0098.png,7.7407704747884685,5.404520545431803,6,2.6718009515902457e-09,5.9999803937527885
0098.png,7.7407704747884685,5.404520545431803,7,1.387589834684415e-09,6.999968727147127
0098.png,7.7407704747884685,5.404520545431803,8,7.541765321258246e-10,7.999944150248006
0099.png,7.7828488477911035,5.423259535777297,1,9.452468213947714e-08,0.9999999745986715
0099.png,7.7828488477911035,5.423259535777297,2,4.821294336019717e-08,1.999999233255205
